id	phrase	reviewIds	examples sentence fragments
203	picture made me look pregnant	277	at all like the picture made me look pregnant
204	did fit	14	surprised that the top did fit and i liked
205	washed nicely	246	products are great washed nicely and comfortable
206	easy to launder	102	these are wonderful shirts easy to launder and travel with
207	thumb holes	392	it has the thumb holes i was n't expecting
208	sizes run very small	16	camp shirt but the sizes run very small this surprised me
209	cute practical	461	i love the flowy cool fabric and the cute practical style
210	enjoy	234	i enjoy this brand because
211	not a woman 's large	140	this is not a woman 's large waste of $
212	shorts	466	wear it with certain shorts because it could
213	pretty cool	167	and the red both pretty cool and fit as
214	runs smaller	136	small but this cami runs smaller than normal i
215	sizes	115	quality is great but sizes are really small
216	middle control	412	is a must for middle control you wo n't
217	bit small	232	this blouse fits a bit small the fabric is
218	wo n't work	453	pretty petite this probably wo n't work for you they
219	sizes are misleading	53	the sizes are misleading i am a
220	exception	202	my well with the exception of the bust
221	too much room	54	the sleeves had way too much room at least 1.5-2inches
222	very well made	40	wear this these are very well made washed up just
223	pilling	351	started breaking apart and pilling i stuck to
224	night out shirt	142	great date or girls night out shirt
225	immediately becomes	18	one of those shirts that immediately becomes your favorite
226	not the best quality	8	not the best quality not i can
227	very comfy	278	it is a very comfy shirt washes well
228	pretty cheap material	455	pretty cheap material and good lord
229	american apparel	95	american apparel 's clothes are all really nice
230	horribly made	361	whole thing it looked horribly made and flimsy i
231	very good product	114	stretched out overall a very good product
232	colors	37	more consistent but the colors and style of
233	remove wrinkles	21	drap used sreamer to remove wrinkles
234	easy to wash	411	work well for me easy to wash and dry fit
235	crisp shirt	57	this has a very crisp shirt
236	prompt service	255	prompt service fits perfect
237	return the shirt	16	that i needed to return the shirt
238	beautiful eye catching purple	407	the shirt is a beautiful eye catching purple but the sizes
239	way smaller than normal	242	shirt was way smaller than normal comfort colors they
240	prefer	91	I definitely prefer this to the sweat stains I had before
241	fit is feminine	265	in different colors overall fit is feminine and doesnt look
242	came quickly	287	love this cami it came quickly and the yellow
243	cheaper alternative	7	at it as a cheaper alternative to skinnytees if
244	good material	65	and look really nice good material i like the
245	3 4 sleeves	222	like the cut of the shirt and the 3 4 sleeves
246	loved it	205	my friend loved it for her birthday
247	sizing is misleading	359	sizing is misleading i order the
248	tall	263	this item was wider than it was tall - i ordered it for the length
249	shapeless	5	baggy and shapeless medium size was
250	did not fit	401	this shirt did not fit true to size
251	great for layering	81	very tight and is great for layering
252	very nice blouse	497	a very nice blouse but it was
253	get a hole	188	though it did get a hole the first time I wore it
254	did not look	270	shirt did not look the same - the colors were darker
255	love the style	245	material very then but love the style
256	fantastic value	66	fantastic value love this shirt goes
257	way off	373	the sizing to be way off the product was
258	very then	245	arrived ontime material very then but love the
259	support without binding	122	and it provides some support without binding the strap on
260	impressed	323	not too thick very impressed at how well
261	if it fit	32	have liked the shirt if it fit but it was
262	great price	22	great shirt at a great price it bounces back
263	bounces	22	a great price it bounces back after washing
264	totally unsatisfactory	85	another under the shirt totally unsatisfactory in my book
265	sleeves are too short	97	sleeves are too short they come above
266	without adding heat	385	well under summer tops without adding heat
267	shirts	14	and under button down shirts
268	compliments every time	259	compliments every time i wear it
269	one of my faves	496	and it is still one of my faves
270	misses size	116	appear to be a misses size it is more
271	love these	109	i love these shirts they are
272	wrong color	48	shirt but received the wrong color
273	hem	470	first washing the bottom hem is now rolled
274	super satisfied	161	i am super satisfied the blouse fit
275	hold	264	feel comfortable and they hold their length and
276	smaller than described	206	the item was smaller than described also the glitter
278	great for cardio	462	2 more they are great for cardio because they are
279	straight shape	98	areas more of a straight shape than a fitted
280	good length	409	and it is a good length i would wear
281	good looking	103	this is a good looking short sleeve shirt
282	hassle	119	did n't want to hassle sending it back
283	did n't love this	98	did n't love this the cotton was
284	tangled	25	get mixed in and tangled with other clothes
