168	permeated	226	was obvious water had permeated the device with
169	clear images	276	lens the sharp and clear images are great the
170	bright	44	the pictures are so bright and the video
171	whirring sound	218	which makes a brief whirring sound a note about
172	crumbling	366	the casing was literally crumbling it got worse
173	better condition	319	camera is in better condition than i expected
174	compliments	247	camera i always get compliments on my pictures
175	excellent results	113	though you can get excellent results with it
176	picture quality is bad	347	is bulky and the picture quality is bad
177	fabulous pictures	342	great camera and takes fabulous pictures
178	essential	401	these packets are essential if you live
179	clearer	63	and going it takes clearer pictures than things
180	worth every penny paid	260	i think it was worth every penny paid good starter camera
181	completely professional camera	67	to make it a completely professional camera if you 're
182	great choice	477	it in my pocket great choice for canon
183	5	408	to say about a 5 i am going
184	4	34	had the camera for 4 or 5 months
185	good item	236	good item thank you
186	wonderful big screen	320	great camera video is wonderful big screen and my girls
187	hit or miss	125	it 's really hit or miss with these cameras
188	not a great one	285	not a bad camera not a great one either but it
189	exceeded my expectations	195	exceeded my expectations high quality pictures long battery
190	good enough	334	line it is a good enough camera to have
191	still working great	91	of usage it 's still working great i paid 150
192	jammed	105	and more finally it jammed up for good
193	beginners	148	lower price and for beginners it is good
194	patient	221	but if you are patient your can make
195	stabilized	274	it does not have stabilized built in so
196	do n't wast	6	do n't wast your money on
197	absolutely love	164	i absolutely love this camera i
198	stylish designed	274	love its sleek thin stylish designed and elegance with
199	nice features	465	camera for casual photography - nice features - good flash
200	great work tool	321	use camera to film the led displays I sell - great work tool
201	tell	185	me and i will tell my friends
202	interesting	285	either but it takes interesting pictures if you
203	discouraged	34	and tedious which has discouraged me from trying
204	compact well designed	286	an excellent camera compact well designed and versatile i
205	very good pics	474	photo techie this takes very good pics for my general
206	love the quality	70	for the price i love the quality
207	excellent service	60	absolutely excellent service in every way
208	works just fine	133	the camera works just fine i got this
209	no optical viewfinder	377	is that there is no optical viewfinder so you must
210	worst photos	283	the camera takes the worst photos i have seen
211	compact	266,47,354	a good all around compact p&s camera nice,this camera it is compact easy to use and takes sharp,for pictures or video light and compact
212	software	442	is ok but the software disc has a
213	will not downoal	13	I now have a Windows7 Professional and the camera cannot will not downoal to it
214	rugged looks	339	extremely waterproof and rugged looks much better than
215	basic	447	recommendation great camera for basic daily use not
216	strongly recommend	218	for you i would strongly recommend picking up a
217	wouldnt trade	355	i have ever owned wouldnt trade it for anything
218	delighted	356	hurting myself i was delighted to find a
219	cheapskate	406	grandpa looks like a cheapskate
220	brighter	441	wish the illumination was brighter in a dark
221	having problems	357	gone and i 'm having problems with the card
222	very good product	469	very good product i recommend
223	colors	206	close up pictures the colors are wrong and
224	could n't be fixed	135	any more so it could n't be fixed when it worked
225	sits in	57	spent 19.00 because it sits in a drawer now
226	no problem	440	works as expected - no problem on a mac
227	sluggish	304	camera is a little sluggish when moving between
228	fan	265	camera i became a fan of bridge cameras
229	magnified shots	260	and takes good quality magnified shots the only other
230	often	23	it and uses it often
231	fast delivery	9	fast delivery very happy with purchase
232	56x	322	pictures with up to 56x magnification have often
233	let down	226	water and have been let down due to false
234	overall good buy	325	photography it was an overall good buy
235	good quality pictures videos	186	I'm just someone who likes good quality pictures / videos
236	dead pixel	287	video feature with a dead pixel that apparently is
237	great compact	210	great compact camera for travel
238	keeps stuff dry	402	good doing its job keeps stuff dry
239	did not function properly	12	unknown reason this camera did not function properly as expected i
240	dont last	491	this uses regular batteries dont last long good purchase
241	fuzzy	191	good camera but pictures fuzzy if you do
242	beautiful color	436	beautiful color and came on
243	convenient size	336	great camera convenient size the only thing
244	i returned	204	i think i returned that not sure
245	fits into	111	it 's handy - fits into your pocket - easy to use
246	great inside	373	great inside and outside shoots
247	two months	135	lasted about two months and a sensor
248	noticeable	280	my photos is very noticeable it does n't
249	does n't	285	but my memory card does n't work in the
250	obsolete	67	now this is an obsolete piece of equipment
251	reimbursement	484	do n't see the reimbursement that a person
252	7 years	90	this camera for over 7 years now and it
253	for the price	272	great camera for the price
254	very nice quality	65	very nice quality buy for the
255	rusted	394	and the batteries were rusted we tried cleaning
256	quality falls	287	light levels but the quality falls off quickly in
257	is nice	482	is good the design is nice and the quality
258	completely satisfied	112	great camera completely satisfied does an excellent job
259	new condition	10	canon powershot as like new condition when i received
260	damaged	389	cover broke and water damaged the camera and
261	impressed	284	and have been quite impressed with its image
262	greatest camera	102	the m8 is the greatest camera i 've ever
263	dark and blurry	183	it can be too dark and blurry but with decent
264	do n't know how	429	basis maybe we just do n't know how to use it
265	bounces	252	but this one just bounces and continues working
266	sd card	400	does n't recognize the sd card the quality of
267	awesome	239	the panorama photos are awesome
268	mechanics	427	try the build and mechanics seem solid and
269	youtube	277	able to make a youtube of my band
270	between clicks	237	very slow in between clicks shutter speed outdated
271	pocket friendly	494	suggest it to anyone - easy - simple - pocket friendly
272	capability	377	small camera the video capability is amazing the
273	average shoot	471	is wonderful it takes average shoot and point pics
274	pictures are blurry	199	this camera all the pictures are blurry and have thumbs
275	good protection	256	the lens which is good protection for the lens
276	look good	79	works great the pictures look good
277	support	94	it leaks intova customer support were pretty unhelpful
278	job	176	does exactly the job its supposed to
279	bells and whistle	298	a lot of the bells and whistle of a dslr
280	bad	285	it 's not a bad camera not a
281	very pleased	74	good product very pleased would buy
282	extras	97	camera with lots of extras
283	really good camera	326	really good camera for the price
284	works perfectly	49	3 days and it works perfectly we just retired
285	shoot	417	for a snap and shoot camera
286	performed	290	performed as expected the
287	lasts for	178	tea lights well it lasts for a while it
288	light weight	276	great the camera is light weight and easy to
289	focus sucks	500	is too long the focus sucks i could go
290	you 'll be alright	390	zoom in a lot you 'll be alright with this camera
291	waaay overpriced	303	waaay overpriced image quality is
292	lovely pictures	267	took lovely pictures and was easy
293	have to return camera	4	was no memory card have to return camera due to this
294	quit	335	for two weeks and quit i plan to
295	extremely admirably	25	the time it served extremely admirably allowing for some
296	super light	477	love this camera super light on the travel
297	handy	111	it 's handy - fits into your pocket - easy to use
298	memory stick	54	that i needed a memory stick and there was
299	unsurpassed	377	prints and video is unsurpassed for a small
300	very good quality pictures	208	my hand and takes very good quality pictures i 'm a
301	dependable	48	the most rugged and dependable sonys ever made
302	buy another	420	good good am thinking buy another because my baby
303	good product	317,74,420,359	good product and service,good product - very pleased,quality is great - good price - good product,good product - ok picture quality
304	would n't buy another	78	basically it works i would n't buy another olympus as they
305	better service	379	great product and better service
306	freezes the pic	331	trembling and this camera freezes the pic and gives me
307	beautiful	274	megapixels it takes very beautiful pictures and sometimes
308	should have been information	54	that 's good there should have been information on the memory
309	blurred	485	then thought photos are blurred the lcd stayed
310	did n't work	393	waterproof camera did n't work in the water
